provincia_id,in_departamentos,departamento,provincia
30,30077,Nogoyá,Entre Rios
70,70070,Pocito,San Juan
2,2105,Comuna 15,CABA
62,62021,Bariloche,Rio Negro
6,6609,Pehuajó,Buenos Aires
18,18021,Capital,Corrientes
6,6007,Adolfo Alsina,Buenos Aires
2,2028,Comuna 4,CABA
6,6070,Baradero,Buenos Aires
6,6749,San Fernando,Buenos Aires
78,78049,Río Chico,Santa Cruz
26,26035,Futaleufú,Chubut
26,26021,Escalante,Chubut
30,30028,Federación,Entre Rios
2,2042,Comuna 6,CABA
6,6581,Necochea,Buenos Aires
6,6238,Dolores,Buenos Aires
50,50084,Rivadavia,Mendoza
14,14007,Calamuchita,Cordoba
6,6854,25 de Mayo,Buenos Aires
6,6112,Bragado,Buenos Aires
2,2007,Comuna 1,CABA
54,54077,Libertador General San Martín,Misiones
6,6665,Ramallo,Buenos Aires
6,6077,Arrecifes,Buenos Aires
2,2098,Comuna 14,CABA
6,6833,Tres Arroyos,Buenos Aires
6,6840,Tres de Febrero,Buenos Aires
6,6588,9 de Julio,Buenos Aires
6,6134,Cañuelas,Buenos Aires
46,46014,Capital,La Rioja
6,6525,Marcos Paz,Buenos Aires
14,14119,Río Segundo,Cordoba
6,6277,Florentino Ameghino,Buenos Aires
6,6392,General Villegas,Buenos Aires
6,6505,Magdalena,Buenos Aires
6,6357,General Pueyrredón,Buenos Aires
6,6441,La Plata,Buenos Aires
6,6547,Monte,Buenos Aires
6,6168,Castelli,Buenos Aires
6,6655,Punta Indio,Buenos Aires
6,6301,General Belgrano,Buenos Aires
6,6805,Tigre,Buenos Aires
6,6466,Lezama,Buenos Aires
6,6217,Chascomús,Buenos Aires
6,6497,Luján,Buenos Aires
2,2021,Comuna 3,CABA
6,6042,Ayacucho,Buenos Aires
6,6476,Lobería,Buenos Aires
2,2084,Comuna 12,CABA
62,62084,Valcheta,Rio Negro
6,6742,San Cayetano,Buenos Aires
6,6049,Azul,Buenos Aires
6,6455,Las Flores,Buenos Aires
6,6056,Bahía Blanca,Buenos Aires
6,6819,Tornquist,Buenos Aires
66,66112,Metán,Salta
2,2063,Comuna 9,CABA
62,62042,General Roca,Rio Negro
58,58035,Confluencia,Neuquen
78,78014,Deseado,Santa Cruz
26,26007,Biedma,Chubut
42,42007,Atreucó,La Pampa
42,42077,Hucal,La Pampa
18,18140,San Luis del Palmar,Corrientes
18,18119,Paso de los Libres,Corrientes
6,6861,Vicente López,Buenos Aires
2,2014,Comuna 2,CABA
6,6658,Quilmes,Buenos Aires
6,6672,Rauch,Buenos Aires
